,_id,title,courriel,SSIAD,SPASAD,SAAD,gestionnaire,ESA,coordinates.street,coordinates.postcode,coordinates.city,coordinates.latitude,coordinates.longitude,departement,nom_departement
0,91378,SPASAD Bresse Dombes,schatillon@fede01.admr.org,0,1,0,ADMR  BRESSE DOMBES,0,286 route de Relevant La Montagne,1400,CHATILLON SUR CHALARONNE,46.113612,4.951739,14,Calvados
1,91377,SPASAD de la Côtière,,0,1,0,Association Adapa,0,4 rue Tony Ferret BP 159,1000,BOURG EN BRESSE,46.196553,5.232742,10,Aube
2,110,SSIAD,ssiadgiedair@wanadoo.fr,1,0,0,G.I.E D.A.I.R  ARTEMARE,0,29 rue Neuve,1510,ARTEMARE,45.873975,5.693232,15,Cantal
3,16,SSIAD ADAPA Miribel-Montluel,adapa@adapa01.com,1,0,0,ASS ADAPA BOURG-EN-BRESSE,0,1820 grande rue,1700,MIRIBEL,45.824502,4.954546,17,Charente-Maritime
4,70,SSIAD ASDOMI Bourg-en-Bresse,ssiad@asdomi.fr,1,0,0,ASS ASDOMI BOURG-EN-BRESSE,0,1653 route de Majornas,1440,VIRIAT,46.226313,5.218319,14,Calvados
5,97,SSIAD Bellegarde-sur-Valserine,ssiad.bellegarde@mutain.com,1,0,0,MUTUALITE FRANCAISE AIN SSAM,0,28 place Victor-Bérard,1200,BELLEGARDE SUR VALSERINE,46.108389,5.829661,12,Aveyron
6,92,SSIAD Bresse revermont,ssiad.coligny@mutain.com,1,0,0,MUTUALITE FRANCAISE AIN SSAM,0,Résidence le Champel,1270,COLIGNY,46.379836,5.350102,12,Aveyron
7,91,SSIAD Bugey1 Veyle Revermont,ssiadceyzeriat@fede01.admr.org,1,0,0,ASSOCIATION ADMR BUGEY AIN VEYLE,0,588 chemin de la Charbonnière,1250,CEYZERIAT,46.180197,5.313617,12,Aveyron
8,29,SSIAD Chhb site de Nantua,ssiad@ch-hautbugey.fr,1,0,0,CH DU HAUT BUGEY,0,50 rue Paul-Painleve,1130,NANTUA,46.150926,5.607539,11,Aude
9,25,SSIAD Docteur Perret,ehpadtriviercourtes@orange.fr,1,0,0,SSIAD ST TIVIER-DE-COURTES,0,17 route de Servignat,1560,ST TRIVIER DE COURTES,46.457333,5.077801,15,Cantal
10,32,SSIAD Hauteville-Brenod,ssiad.hauteville@mutain.com,1,0,0,MUTUALITE FRANCAISE AIN SSAM,0,26 rue Henriette-d'Angeville,1110,HAUTEVILLE LOMPNES,45.982745,5.604981,11,Aude
11,109,SSIAD Montrevel,direction@ehpad-montrevel.fr,1,0,0,EHPAD MONTREVEL-EN-BRESSE-FOISSIAT,0,57 rue de l'Hôpital,1340,MONTREVEL EN BRESSE,46.339896,5.126021,13,Bouches-du-Rhône
12,118,SSIAD SERIMADD Chalamont,serimadd@wanadoo.fr,1,0,0,ASSOCIATION  SANTE DOMBES,0,318 grande rue,1320,CHALAMONT,45.996509,5.172364,13,Bouches-du-Rhône
13,103,SSIAD Saint-Rambert-en-Bugey,ssiad.bellegarde@mutain.com,1,0,0,MUTUALITE FRANCAISE AIN SSAM,0,171 rue du Docteur-Temporal,1230,ST RAMBERT EN BUGEY,45.949857,5.442924,12,Aveyron
14,72,SSIAD de Belley,ssiad.belley@mutain.com,1,0,0,MUTUALITE FRANCAISE AIN SSAM,0,59 rue du 8-Mai-1945,1300,BELLEY,45.755874,5.693601,13,Bouches-du-Rhône
15,123,SSIAD de Châtillon-sur-Chalaronne,schatillon@fede01.admr.org,1,0,0,ADMR SSIAD BRESSE DOMBES,0,Route de Relevant,1400,CHATILLON SUR CHALARONNE,46.111581,4.95211,14,Calvados
16,108,SSIAD de Gex,ssiad.gex@mutain.com,1,0,0,MUTUALITE FRANCAISE AIN SSAM,0,Avenue de la Gare,1170,GEX,46.335106,6.065978,11,Aude
17,98,SSIAD de Lagnieu-Lhuis,ssiad.lagnieu@mutain.com,1,0,0,MUTUALITE FRANCAISE AIN SSAM,0,11 B rue de l'Industrie,1150,LAGNIEU,45.901964,5.346399,11,Aude
18,22,SSIAD de la Résidence Fontelune,ssiad.fontelune@orange.fr,1,0,0,EHPAD RESIDENCE FONTELUNE AMBERIEU,0,10 rue de la Commune-de-1871,1500,AMBERIEU EN BUGEY,45.969007,5.350794,15,Cantal
19,13,SSIAD du Centre hospitalier avs,brlabrosse@ch-avs.fr,1,0,0,CTRE HOSP INTERCOM AIN VAL DE SAÔNE,0,Rue Pierre-Goujon,1290,PONT DE VEYLE,46.263522,4.889221,12,Aveyron
20,100,SSIAD pour personnes âgées de Meximieux,ssiad.meximieux@orange.fr,1,0,0,CH DE MEXIMIEUX,0,13 Avenue du Docteur-Boyer,1800,MEXIMIEUX,45.9067065,5.19460140000001,18,Cher
21,71,SSIAD pour personnes âgées et handicapées,ssiad.mo@mut-oyo.fr,1,0,0,MUTUELLE OYONNAXIENNE,0,8 rue Laplanche,1100,OYONNAX,46.261283,5.657203,11,Aude
22,89,Service de soins à domicile Pour personnes âgées Reyrieux,contact@valdesaonedombes.com,0,1,0,ASSO. VSD AIDE ET SOINS,0,225 rue Louis-Antoine-Duriat,1600,REYRIEUX,45.935045,4.825348,16,Charente
23,91981,SERVICE AIDE & ACCOMPAGNEMENT À DOM.,lavoine.myriam@picardie-msa.fr,0,0,1,ASSOCIATION AVENIR RURAL,0,1 Rue Turgot,2000,LAON,49.577723,3.651907,20,Haute-Corse
24,91935,SERVICE D AIDE A DOMICILE,aubenton@fede02.admr.org,0,0,1,ADMR AUBENTON ET ENVIRONS,0,1 Rue du Docteur Josso,2500,AUBENTON,49.837619,4.203493,25,Doubs
25,91969,SERVICE D AIDE A DOMICILE,aideadomicile@siadjussy.fr,0,0,1,SIAM DU CANTON DE ST SIMON,0,58 Avenue de la Victoire,2480,JUSSY,49.730149,3.241752,24,Dordogne
26,91983,SERVICE D AIDE A DOMICILE,sivom.sflachero@orange.fr,0,0,1,S.I.V.O.M. DE LE CATELET.,0,14 Rue Quincampoix,2420,LE CATELET,50.001567,3.242567,24,Dordogne
27,91903,SERVICE D'AIDE A DOMICILE,m.dubaux@fr.oleane.com,0,0,1,COMMUNAUTE DE COMMUNES,0,2 Voie Andre Rossi,2310,CHARLY SUR MARNE,48.978668,3.289144,23,Creuse
28,91906,SERVICE D'AIDE A DOMICILE,admr.marle@dede02.admr.org,0,0,1,ADMR DE MARLE ET ENVIRONS,0,18 Rue Lehault,2250,MARLE,49.739513,3.768443,22,Côtes d'Armor
29,91931,SERVICE D'AIDE A DOMICILE,ccasbohain.direction@orange.fr,0,0,1,CCAS,0,Rue Jean Mermoz,2110,BOHAIN EN VERMANDOIS,49.984176,3.451674,21,Côte-d'Or
30,91936,SERVICE D'AIDE A DOMICILE,,0,0,1,SIAV DE NEUVE-MAISON,0,24 Rue de Verdun,2500,NEUVE MAISON,49.92833,4.036436,25,Doubs
31,91943,SERVICE D'AIDE A DOMICILE,sissad.gauchy@wanadoo.fr,0,0,1,SISSAD,0,Allee Claude Mairesse,2430,GAUCHY,49.829244,3.27656,24,Dordogne
32,91955,SERVICE D'AIDE A DOMICILE,ccas-fresnoy-le-grand@wanadoo.fr,0,0,1,C C A S FRESNOY LE GRAND,0,Rue Venet Menu,2230,FRESNOY LE GRAND,49.946703,3.415549,22,Côtes d'Armor
33,91958,SERVICE D'AIDE A DOMICILE,sivom.sains.richaumont@wanadoo.fr,0,0,1,S.I.V.O.M.DE SAINS RICHAUMONT,0,7 Rue Jean Susini,2120,SAINS RICHAUMONT,49.82518,3.712471,21,Côte-d'Or
34,91961,SERVICE D'AIDE A DOMICILE,contact@cctso.fr,0,0,1,CC THIERACHE SAMBRE ET OISE,0,Rue Sadi Carnot,2120,GUISE,49.900556,3.630868,21,Côte-d'Or
35,91963,SERVICE D'AIDE A DOMICILE,ccas@hirson.net,0,0,1,C C A S D'HIRSON,0,55 Rue de Lorraine,2500,HIRSON,49.91722,4.091837,25,Doubs
