,Unnamed: 0,Nom de l'établissement,Commune,CP,Région,Département,Categorie_filiere,activite,Cognitif,Physique,Sensoriel
0,0,Le Gîte d'Enora - Quemeneven,QUEMENEVEN,29180,Bretagne,Finistère,Hébergement,Meublé de tourisme,True,True,True
1,1,Gite de Kerlouan,KERLOUAN,29890,Bretagne,Finistère,Hébergement,Meublé de tourisme,True,True,True
2,2,CELTAVENTURES SARL CAPALOU,SARZEAU,56370,Bretagne,Morbihan,Loisir,Parc de loisir,True,False,False
3,3,Chambres d'Hôtes de la Cotterie,SAINT-SENOCH,37600,Centre - Val de Loire,Indre-et-Loire,Hébergement,Chambre d'hôtes,True,True,False
4,4,Gîte rural de la Coutellerie 150058,POILLY-LEZ-GIEN,45500,Centre - Val de Loire,Loiret,Hébergement,Meublé de tourisme,True,True,True
5,5,Office de Tourisme Sauldre et Sologne,AUBIGNY-SUR-NERE,18700,Centre - Val de Loire,Cher,Information touristique,Office de tourisme,True,True,True
6,6,Hôtel Ibis Budget Apt-Luberon,APT,84400,Provence Alpes-Côte d'Azur,Vaucluse,Hébergement,Hôtel,True,True,True
7,7,Gîte La Maison Blanche,MALLEMOISSON,4510,Provence Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Hébergement,Meublé de tourisme,True,True,True
8,8,Office de tourisme de Théoule sur Mer,THEOULE-SUR-MER,6590,Provence Alpes-Côte d'Azur,Alpes-Maritimes,Information touristique,Office de tourisme,True,True,True
9,9,SARL Raygus - Bar restaurant Les Terrasses,GORBIO,6500,Provence Alpes-Côte d'Azur,Alpes-Maritimes,Restauration,Restaurant,True,True,False
10,10,Restaurant la Buvette du Lac,LE LAUZET-UBAYE,4340,Provence Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Restauration,Restaurant,True,True,False
11,11,Chambre d'Hôtes Pégase - Le Clos de l'Ane,SAVASSE,26740,Auvergne Rhône-Alpes,Drôme,Hébergement,Chambre d'hôtes,True,True,True
12,12,Centre Aqua Passion,LAVOUTE-SUR-LOIRE,43800,Auvergne Rhône-Alpes,Haute-Loire,Loisir,Etablissement de loisir,True,True,False
13,13,Le Champ de l'Oustau,SAINT-CHRISTOPHE-SUR-DOLAISON,43370,Auvergne Rhône-Alpes,Haute-Loire,Hébergement,Meublé de tourisme,True,False,False
14,14,Gîte Côté Cour,LAIVES,71240,Bourgogne Franche-Comté,Saône-et-Loire,Hébergement;Loisir,Loisir éducatif;Meublé de tourisme,True,True,False
15,15,Office de Tourisme de Montbard,MONTBARD,21500,Bourgogne Franche-Comté,Côte-d'Or,Information touristique,Office de tourisme,True,True,True
16,16,Chambres d'Hôtes Le Faing du Bray,PLOMBIERES-LES-BAINS,88370,Grand Est,Vosges,Hébergement,Chambre d'hôtes,True,True,False
17,17,Musée de la bière,STENAY,55700,Grand Est,Meuse,Visite,Lieu de visite,True,True,True
18,18,Office de Tourisme Sarreguemines Confluences,SARREGUEMINES,57200,Grand Est,Moselle,Information touristique,Office de tourisme,True,True,True
19,19,Restaurant Le Palmier,CHAUMONT,52000,Grand Est,Haute-Marne,Restauration,Restaurant,True,True,True
20,20,Centre de Vacances du Caps,BADONVILLER,54540,Grand Est,Meurthe-et-Moselle,Hébergement,Village de vacances,True,True,False
21,21,Sentier Découverte de Ramberchamp,GERARDMER,88400,Grand Est,Vosges,Loisir,Sortie nature,True,True,True
22,22,Camping Larrouleta,URRUGNE,64122,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Camping,True,True,True
23,23,Auberge du Relais,BERENX,64300,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement;Restauration,Hôtel;Restaurant,True,True,True
24,24,Hôtel le Vatel,BORDEAUX,33000,Nouvelle Aquitaine,Gironde,Hébergement;Restauration,Hôtel;Restaurant,True,True,False
25,25,La Maison d'Antan,ARZACQ-ARRAZIGUET,64410,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement;Restauration,Hôtel;Restaurant,True,False,False
